opportunity_id,account_id,account_name,outcome,created_date,close_date,segment,region,industry,product_tier,value_metric,list_acv,booked_acv,platform_fee_acv,usage_acv,term_months,quantity,rep_id,approved_by,competitor_present,lost_reason
OPP-00058,ACC-0178,"Monarch Digital, Inc.",closed_lost,2024-12-29,2025-01-31,MidMarket,EMEA,MarTech,Starter,hybrid,87617.61,76740.33,43029.86,33710.47,12,10324.0,REP-06,,false,price
OPP-00059,ACC-0030,Ridgeline Data Inc,closed_lost,2025-03-15,2025-06-19,Enterprise,NA,Security,Growth,hybrid,277848.82,204410.34,91456.35,112953.99,12,22498.0,REP-04,MGR-04,false,product
OPP-00060,ACC-0177,Pinnacle Labs Corp.,closed_won,2024-12-24,2025-01-26,SMB,NA,MarTech,Growth,hybrid,10367.78,9757.36,5154.12,4603.24,12,1339.0,REP-04,,false,
OPP-00061,ACC-0114,UMBRA TECHNOLOGIES INC.,closed_lost,2024-07-03,2024-09-20,SMB,NA,FinTech,Starter,hybrid,20446.97,17904.02,8299.05,9604.97,12,4087.0,REP-06,,true,timing
OPP-00062,ACC-0253,Northwind AI Corp.,closed_lost,2025-02-20,2025-05-16,MidMarket,NA,Security,Starter,hybrid,52594.45,43491.26,12000.69,31490.57,12,2713.0,REP-08,MGR-02,true,timing
OPP-00063,ACC-0040,equinox software inc.,closed_lost,2025-03-18,2025-03-29,MidMarket,EMEA,MarTech,Starter,consumption,47104.11,36198.99,0.0,36198.99,12,2477.0,REP-08,,true,price
OPP-00064,ACC-0057,Initech Systems Inc,closed_won,2025-01-26,2025-03-28,SMB,APAC,MarTech,Growth,consumption,7590.19,6306.59,0.0,6306.59,24,334.0,REP-02,MGR-02,false,
OPP-00065,ACC-0198,"Vantage, Inc.",closed_lost,2024-05-01,2024-07-29,Enterprise,EMEA,FinTech,Growth,hybrid,177262.75,139672.72,61445.96,78226.76,36,156910.0,REP-11,MGR-00,false,competitor
OPP-00066,ACC-0204,MONARCH DATA CORP.,closed_won,2024-06-06,2024-08-04,SMB,NA,DevTools,Scale,hybrid,11811.7,10685.05,5481.47,5203.58,24,493.0,REP-05,,false,
OPP-00067,ACC-0249,Monarch Labs,closed_lost,2025-01-29,2025-05-18,SMB,NA,MarTech,Growth,seats,7454.12,6520.08,6520.08,0.0,24,9.0,REP-08,,true,timing
OPP-00068,,RIDGELINE AI LLC,closed_lost,2024-06-15,2024-09-29,Enterprise,EMEA,Infra/API,Enterprise,hybrid,403995.8,309411.66,142859.4,166552.26,24,17741.0,REP-10,,false,competitor
OPP-00069,ACC-0113,Acme Systems Corp.,closed_won,2024-08-20,2024-10-08,MidMarket,NA,Data/Analytics,Starter,hybrid,62972.34,54880.19,31433.65,23446.54,36,6953.0,REP-04,,false,
OPP-00070,,Juniper Labs Corp.,closed_won,2024-04-09,2024-07-21,Enterprise,EMEA,Vertical SaaS,Starter,hybrid,123930.43,101778.58,39256.5,62522.08,12,5932.0,REP-10,MGR-02,true,
OPP-00071,,Tessera Data Co.,closed_won,2025-02-26,2025-06-08,MidMarket,NA,Infra/API,Enterprise,consumption,69209.7,57793.88,0.0,57793.88,12,6643.0,REP-00,MGR-02,true,
OPP-00072,,Vantage,closed_lost,2025-02-24,2025-05-30,SMB,APAC,MarTech,Enterprise,hybrid,7988.59,6955.23,4067.89,2887.34,36,2193.0,REP-03,,true,timing
OPP-00073,,meridian networks co.,closed_won,2024-05-10,2024-08-03,Enterprise,NA,Vertical SaaS,Starter,consumption,131634.84,107665.18,0.0,107665.18,36,8754.0,REP-08,MGR-02,false,
OPP-00074,,Acme Labs LLC,closed_won,2025-02-23,2025-04-29,SMB,EMEA,FinTech,Growth,hybrid,19722.7,18344.09,6979.03,11365.06,12,7711.0,REP-09,,true,
OPP-00075,ACC-0064,Lumen Systems,closed_lost,2024-10-01,2024-12-15,SMB,APAC,Infra/API,Enterprise,hybrid,6773.5,6374.98,1282.86,5092.12,36,2808.0,REP-11,,false,product
OPP-00076,ACC-0213,  northwind cloud ,closed_lost,2025-02-20,2025-05-01,MidMarket,NA,Vertical SaaS,Scale,seats,67924.3,57696.36,57696.36,0.0,12,37.0,REP-05,MGR-04,false,product
OPP-00077,ACC-0074,solstice ai inc.,closed_won,2025-03-02,2025-04-16,SMB,EMEA,FinTech,Growth,consumption,7825.03,6732.07,0.0,6732.07,12,370.0,REP-00,,false,
OPP-00078,,Vertex Technologies,closed_lost,2025-06-04,2025-06-19,MidMarket,NA,DevTools,Growth,hybrid,40533.67,31580.96,14594.13,16986.83,36,1654.0,REP-05,MGR-02,false,product
OPP-00079,,  Pinnacle Software Inc ,closed_lost,2025-01-14,2025-02-20,MidMarket,EMEA,Vertical SaaS,Growth,seats,79718.36,78270.01,78270.01,0.0,24,32.0,REP-09,,false,price
OPP-00080,ACC-0256,"  Aurora Cloud, Inc. ",closed_won,2024-07-27,2024-09-05,SMB,NA,Vertical SaaS,Enterprise,hybrid,23059.49,20585.12,10921.56,9663.56,36,2947.0,REP-01,,false,
OPP-00081,ACC-0137,Lattice Networks Inc.,closed_won,2025-03-30,2025-05-18,SMB,NA,FinTech,Scale,hybrid,35392.15,30730.59,14197.36,16533.23,12,4625.0,REP-02,,true,
OPP-00082,ACC-0178,MONARCH DIGITAL CO.,closed_lost,2024-07-12,2024-09-08,MidMarket,NA,FinTech,Enterprise,seats,33770.83,30401.55,30401.55,0.0,24,14.0,REP-04,,false,price
OPP-00083,,Vertex Cloud LLC,closed_won,2024-08-29,2024-10-14,SMB,NA,DevTools,Scale,hybrid,5725.95,5001.21,2798.59,2202.62,36,241.0,REP-05,,true,
OPP-00084,ACC-0103,  Ridgeline Networks Co. ,closed_won,2024-05-31,2024-08-13,SMB,NA,DevTools,Starter,hybrid,12188.47,10157.81,5682.55,4475.26,24,708.0,REP-05,MGR-02,true,
OPP-00085,ACC-0225,Initech Inc.,closed_won,2024-04-17,2024-08-06,Enterprise,NA,MarTech,Scale,hybrid,459464.2,397890.86,226049.96,171840.9,24,37733.0,REP-06,,false,
OPP-00086,ACC-0231,Umbra Systems Inc.,closed_won,2024-09-23,2024-11-29,MidMarket,EMEA,Vertical SaaS,Growth,seats,86736.6,74976.36,74976.36,0.0,12,105.0,REP-07,,false,
OPP-00087,ACC-0173,Monarch Networks LLC,closed_won,2024-11-29,2025-02-06,SMB,NA,Infra/API,Scale,consumption,6963.28,5816.62,0.0,5816.62,12,306.0,REP-07,,true,
OPP-00088,,Kestrel Software Inc,closed_won,2024-05-02,2024-09-02,Enterprise,APAC,Data/Analytics,Growth,hybrid,159749.05,121275.79,44457.0,76818.79,12,14675.0,REP-04,MGR-03,false,
OPP-00089,,Vantage Digital,closed_won,2024-10-09,2024-12-16,Enterprise,NA,Security,Growth,hybrid,379287.23,307097.2,79624.08,227473.12,12,17414.0,REP-11,MGR-03,true,
OPP-00090,,"Ridgeline Cloud, Inc.",closed_won,2024-08-09,2024-09-05,SMB,NA,MarTech,Scale,hybrid,15648.95,14609.41,7868.82,6740.59,36,2395.0,REP-05,,false,
OPP-00091,,JUNIPER AI LLC,closed_lost,2024-12-09,2025-01-23,SMB,EMEA,Vertical SaaS,Enterprise,hybrid,7489.19,6441.86,3736.22,2705.64,36,541.0,REP-08,,true,timing
OPP-00092,ACC-0059,Fathom Digital LLC,closed_won,2024-05-14,2024-07-17,MidMarket,EMEA,MarTech,Growth,hybrid,48904.27,40028.08,16811.38,23216.7,12,10779.0,REP-07,MGR-01,true,
OPP-00093,,Solstice Networks LLC,closed_won,2024-07-10,2024-09-18,MidMarket,NA,Security,Starter,hybrid,45227.72,36418.91,10749.09,25669.82,12,16094.0,REP-04,MGR-02,false,
OPP-00094,ACC-0271,Tessera Systems Corp.,closed_won,2024-07-24,2024-10-03,SMB,NA,DevTools,Enterprise,seats,15365.96,13405.9,13405.9,0.0,24,8.0,REP-07,,true,
OPP-00095,ACC-0039,"Tessera Technologies, Inc.",closed_won,2024-11-26,2025-01-25,MidMarket,EMEA,Vertical SaaS,Growth,consumption,83097.24,65790.64,0.0,65790.64,12,21442.0,REP-08,MGR-04,true,
OPP-00096,,Meridian,closed_won,2024-07-27,2024-10-07,SMB,NA,FinTech,Starter,consumption,12379.96,11017.04,0.0,11017.04,36,503.0,REP-05,,false,
OPP-00097,ACC-0039,TESSERA TECHNOLOGIES INC.,closed_won,2024-03-05,2024-07-09,Enterprise,APAC,Data/Analytics,Enterprise,hybrid,193480.49,151155.03,66058.21,85096.82,12,8203.0,REP-05,MGR-01,false,
OPP-00098,,Northwind AI LLC,closed_won,2024-08-08,2024-10-09,MidMarket,EMEA,Security,Scale,seats,53080.83,47236.9,47236.9,0.0,12,24.0,REP-07,,false,
OPP-00099,ACC-0039,"Tessera Technologies, Inc.",closed_won,2024-09-08,2025-01-26,Enterprise,EMEA,Data/Analytics,Growth,hybrid,144354.47,105518.06,52069.8,53448.26,36,16173.0,REP-04,MGR-04,true,
OPP-00100,,Catalyst AI LLC,closed_lost,2025-02-21,2025-05-01,MidMarket,NA,Data/Analytics,Scale,consumption,45531.75,41972.88,0.0,41972.88,12,5306.0,REP-09,,true,timing
OPP-00101,,Vertex Cloud Co.,closed_won,2024-07-25,2024-08-28,SMB,NA,Data/Analytics,Scale,hybrid,13226.81,12143.63,8532.04,3611.59,12,683.0,REP-04,,false,
OPP-00102,ACC-0221,"Oasis Software, Inc.",closed_lost,2025-02-04,2025-05-10,Enterprise,NA,FinTech,Growth,consumption,328569.89,227941.95,0.0,227941.95,12,207466.0,REP-01,,true,no_decision
OPP-00103,,tessera systems corp.,closed_won,2024-10-21,2024-11-16,MidMarket,NA,MarTech,Starter,hybrid,86723.09,67960.06,26106.05,41854.01,12,6804.0,REP-05,,true,
OPP-00104,ACC-0219,"  Juniper Systems, Inc. ",closed_lost,2024-08-07,2024-10-23,MidMarket,NA,MarTech,Scale,seats,69188.05,56403.44,56403.44,0.0,36,57.0,REP-10,MGR-01,true,no_decision
OPP-00105,,Monarch Technologies Inc.,closed_lost,2024-05-22,2024-09-20,Enterprise,NA,MarTech,Starter,consumption,152539.15,103890.98,0.0,103890.98,12,48141.0,REP-03,MGR-03,true,price
OPP-00106,,Globex Data Inc.,closed_won,2024-10-11,2024-11-27,MidMarket,NA,Security,Starter,hybrid,59971.24,49698.52,12543.91,37154.61,12,5121.0,REP-03,MGR-02,true,
OPP-00107,ACC-0091,"Juniper Labs, Inc.",closed_won,2025-03-01,2025-04-01,SMB,NA,Vertical SaaS,Growth,consumption,9796.43,9140.12,0.0,9140.12,12,5623.0,REP-02,,false,
OPP-00108,ACC-0226,Halcyon AI Inc,closed_won,2024-12-27,2025-02-14,MidMarket,EMEA,MarTech,Starter,hybrid,50701.14,46101.37,25911.93,20189.44,12,2915.0,REP-11,,false,
OPP-00109,ACC-0249,Monarch Labs,closed_won,2025-03-16,2025-06-01,SMB,APAC,FinTech,Scale,consumption,14026.33,10876.77,0.0,10876.77,12,1898.0,REP-01,MGR-02,true,
OPP-00110,,Lattice Labs Inc.,closed_won,2024-11-05,2025-01-03,Enterprise,NA,Security,Growth,hybrid,183908.88,142457.18,73438.52,69018.66,12,27609.0,REP-05,MGR-01,true,
OPP-00111,ACC-0185,fathom,closed_won,2024-08-13,2024-09-03,MidMarket,NA,MarTech,Growth,consumption,37908.06,32694.51,0.0,32694.51,12,3573.0,REP-05,,false,
OPP-00112,ACC-0256,"  Aurora Cloud, Inc. ",closed_won,2025-01-12,2025-04-16,SMB,NA,Vertical SaaS,Enterprise,hybrid,20876.37,19724.3,11173.82,8550.48,36,2088.0,REP-06,,false,
OPP-00113,ACC-0056,WAVELENGTH NETWORKS CO.,closed_won,2024-04-04,2024-07-13,SMB,EMEA,DevTools,Growth,seats,14088.38,13065.36,13065.36,0.0,36,14.0,REP-03,,false,
OPP-00114,ACC-0005,Lattice Systems Inc.,closed_won,2025-02-03,2025-05-28,Enterprise,NA,Data/Analytics,Enterprise,seats,298208.0,265923.21,265923.21,0.0,24,330.0,REP-09,,false,
OPP-00115,ACC-0130,Monarch Software Inc,closed_won,2024-10-26,2024-12-20,SMB,NA,DevTools,Growth,consumption,11666.9,10375.1,0.0,10375.1,12,526.0,REP-10,,true,
OPP-00116,ACC-0054,Oasis Inc,closed_lost,2024-09-16,2024-10-18,SMB,APAC,Security,Starter,hybrid,17021.05,14695.53,7821.99,6873.54,12,758.0,REP-05,,true,product
OPP-00117,ACC-0265,"meridian cloud, inc.",closed_won,2025-04-21,2025-05-22,SMB,NA,Vertical SaaS,Growth,seats,9501.55,8911.51,8911.51,0.0,24,8.0,REP-10,,false,
OPP-00118,ACC-0260,Quartz Software,closed_won,2024-09-26,2024-12-14,MidMarket,NA,FinTech,Starter,hybrid,26766.99,19857.32,10748.66,9108.66,12,3620.0,REP-01,MGR-03,true,
OPP-00119,ACC-0112,Quartz AI Inc,closed_won,2025-03-29,2025-05-10,MidMarket,EMEA,Security,Starter,consumption,93864.25,88149.36,0.0,88149.36,12,7818.0,REP-04,,true,
OPP-00120,,CATALYST NETWORKS,closed_lost,2024-08-20,2024-09-13,SMB,EMEA,Vertical SaaS,Enterprise,hybrid,6324.21,5820.17,2381.83,3438.34,24,668.0,REP-10,,true,price
OPP-00121,,northwind cloud corp.,closed_lost,2024-08-24,2024-11-27,Enterprise,NA,Security,Scale,consumption,444402.82,339874.67,0.0,339874.67,12,66331.0,REP-07,,true,competitor
OPP-00122,,"Nimbus Cloud, Inc.",closed_lost,2024-07-25,2024-08-03,SMB,EMEA,Infra/API,Scale,seats,11807.98,10681.42,10681.42,0.0,12,5.0,REP-02,,true,price
OPP-00123,,Ironclad AI Inc.,closed_won,2024-12-12,2025-02-08,SMB,NA,Data/Analytics,Growth,consumption,10973.52,10263.67,0.0,10263.67,12,11260.0,REP-10,,false,
OPP-00124,,vantage,closed_won,2024-09-15,2024-11-04,MidMarket,NA,DevTools,Starter,hybrid,91446.52,73942.75,46055.68,27887.07,12,10470.0,REP-10,MGR-02,true,
OPP-00125,ACC-0218,"Onyx Technologies, Inc.",closed_won,2025-03-20,2025-05-20,MidMarket,NA,FinTech,Growth,hybrid,103898.51,98413.01,36662.57,61750.44,12,19441.0,REP-04,,false,
OPP-00126,,"juniper cloud, inc.",closed_lost,2025-03-14,2025-06-06,MidMarket,NA,Infra/API,Growth,consumption,99769.54,86824.74,0.0,86824.74,24,4161.0,REP-02,,false,product
OPP-00127,,Catalyst Data,closed_won,2024-08-05,2024-09-06,SMB,EMEA,Data/Analytics,Starter,hybrid,31044.94,31044.94,13280.65,17764.29,12,4084.0,REP-06,,false,
OPP-00128,,  HALCYON CLOUD ,closed_won,2024-12-03,2025-01-13,MidMarket,EMEA,FinTech,Growth,consumption,45854.11,35386.17,0.0,35386.17,12,6945.0,REP-07,,true,
OPP-00129,,Quartz Cloud Co.,closed_won,2024-04-13,2024-07-15,Enterprise,NA,DevTools,Growth,hybrid,137390.89,116889.22,68058.3,48830.92,12,15012.0,REP-05,,false,
OPP-00130,ACC-0255,Aurora Systems Inc,closed_lost,2024-05-28,2024-07-25,MidMarket,NA,DevTools,Growth,hybrid,36686.2,34109.44,19387.82,14721.62,24,2101.0,REP-08,,false,competitor
OPP-00131,ACC-0202,"Aurora Networks, Inc.",closed_lost,2024-12-04,2025-03-04,SMB,NA,MarTech,Scale,hybrid,11289.01,9214.84,3697.79,5517.05,12,1474.0,REP-07,MGR-04,true,price
OPP-00132,ACC-0100,Oasis AI Co.,closed_won,2024-11-20,2024-12-31,SMB,EMEA,MarTech,Growth,seats,12009.15,10483.25,10483.25,0.0,24,7.0,REP-09,,false,
